city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Baripada,Odisha,Odisha,2022,11,,insufficient,18.5,,insufficient,18.5,,insufficient,18.1,,insufficient,18.1,,insufficient,18.1,,insufficient,18.5,,insufficient,18.5,,insufficient,18.1,,insufficient,18.5,,insufficient,18.3,,insufficient,18.3,,insufficient,10.1,,insufficient,2.1,,insufficient,18.3,,insufficient,18.5,,insufficient,18.5,,insufficient,18.5,,insufficient,18.5,,insufficient,18.5,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baripada,Odisha,Odisha,2022,12,94.82106591865357,good,95.8,191.0457082748948,good,95.8,8.768539638386647,good,96.6,4.103407510431155,good,96.6,12.865618915159946,good,96.6,8.819706293706293,good,96.1,1.06673157162726,good,96.6,47.61940194714882,good,96.6,68.12952777777778,good,96.8,3.1433194444444443,good,96.8,5.287083333333333,good,96.8,0.021769436997319036,good,50.1,0.026740088105726874,good,61.0,0.02177464788732394,good,95.4,0.2300138888888889,good,96.8,261.9799583333333,good,96.8,64.69859722222223,good,96.8,19.461666666666666,good,96.8,93.20005555555556,good,96.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baripada,Odisha,Odisha,2023,1,99.35901369863012,good,98.1,193.8988888888889,good,98.0,19.567427385892117,good,97.2,26.010332871012483,good,96.9,27.32082872928177,good,97.3,8.527767123287672,good,98.1,1.1854076086956522,good,98.9,46.29601379310345,good,97.4,65.22225584594223,good,97.7,4.645972789115646,good,98.8,14.125074829931973,good,98.8,0.06059914407988588,good,94.2,0.11830965909090913,good,94.6,0.020932203389830508,good,63.4,0.2527815468113976,good,99.1,246.64324287652647,good,99.1,69.4985519125683,good,98.4,20.404796195652175,good,98.9,84.2889226519337,good,97.3,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baripada,Odisha,Odisha,2023,2,56.065555555555555,good,95.1,141.05120500782473,good,95.1,18.149661538461537,sparse,48.4,7.473822629969419,sparse,48.7,20.599724770642204,sparse,48.7,9.10503086419753,good,96.4,0.8270724191063173,good,96.6,45.47256880733945,sparse,48.7,74.77975116640748,good,95.7,3.5911882716049384,good,96.4,12.671190108191654,good,96.3,0.07390092879256967,good,96.1,0.1653405572755418,good,96.1,,insufficient,4.3,0.33173780487804877,good,97.6,233.62989329268297,good,97.6,57.572353846153845,good,96.7,24.263446153846154,good,96.7,136.37283393501804,good,82.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
Baripada,Odisha,Odisha,2023,3,48.57774964838256,good,95.6,116.40717912552891,good,95.3,7.041638225255972,sparse,39.4,6.3606779661016954,sparse,39.7,12.652081911262798,sparse,39.4,6.076884561891517,good,96.6,0.7457420249653258,good,96.9,20.132364864864865,sparse,39.8,69.15578796561604,good,93.8,2.6959887005649716,good,95.2,10.743206214689266,good,95.2,0.09557909604519774,good,95.2,0.2885552407932011,good,94.9,,insufficient,13.7,0.27747572815533983,good,96.9,209.92662968099862,good,96.9,,insufficient,5.8,26.553458333333335,good,96.8,139.15179166666667,good,96.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_4,2,2022,2023,1
