city,state,state_original,year,month,PM2.5 (ug/m3)_mean,PM2.5 (ug/m3)_flag,PM2.5 (ug/m3)_coverage_pct,PM10 (ug/m3)_mean,PM10 (ug/m3)_flag,PM10 (ug/m3)_coverage_pct,NO (ug/m3)_mean,NO (ug/m3)_flag,NO (ug/m3)_coverage_pct,NO2 (ug/m3)_mean,NO2 (ug/m3)_flag,NO2 (ug/m3)_coverage_pct,NOx (ppb)_mean,NOx (ppb)_flag,NOx (ppb)_coverage_pct,SO2 (ug/m3)_mean,SO2 (ug/m3)_flag,SO2 (ug/m3)_coverage_pct,CO (mg/m3)_mean,CO (mg/m3)_flag,CO (mg/m3)_coverage_pct,NH3 (ug/m3)_mean,NH3 (ug/m3)_flag,NH3 (ug/m3)_coverage_pct,Ozone (ug/m3)_mean,Ozone (ug/m3)_flag,Ozone (ug/m3)_coverage_pct,Benzene (ug/m3)_mean,Benzene (ug/m3)_flag,Benzene (ug/m3)_coverage_pct,Toluene (ug/m3)_mean,Toluene (ug/m3)_flag,Toluene (ug/m3)_coverage_pct,Eth-Benzene (ug/m3)_mean,Eth-Benzene (ug/m3)_flag,Eth-Benzene (ug/m3)_coverage_pct,MP-Xylene (ug/m3)_mean,MP-Xylene (ug/m3)_flag,MP-Xylene (ug/m3)_coverage_pct,Xylene (ug/m3)_mean,Xylene (ug/m3)_flag,Xylene (ug/m3)_coverage_pct,WS (m/s)_mean,WS (m/s)_flag,WS (m/s)_coverage_pct,WD (degree)_mean,WD (degree)_flag,WD (degree)_coverage_pct,RH (%)_mean,RH (%)_flag,RH (%)_coverage_pct,AT (degree C)_mean,AT (degree C)_flag,AT (degree C)_coverage_pct,RF (mm)_mean,RF (mm)_flag,RF (mm)_coverage_pct,O Xylene (ug/m3)_mean,O Xylene (ug/m3)_flag,O Xylene (ug/m3)_coverage_pct,SR (W/mt2)_mean,SR (W/mt2)_flag,SR (W/mt2)_coverage_pct,BP (mmHg)_mean,BP (mmHg)_flag,BP (mmHg)_coverage_pct,CH4 (ug/m3)_mean,CH4 (ug/m3)_flag,CH4 (ug/m3)_coverage_pct,NMHC (ug/m3)_mean,NMHC (ug/m3)_flag,NMHC (ug/m3)_coverage_pct,THC (ug/m3)_mean,THC (ug/m3)_flag,THC (ug/m3)_coverage_pct,CO2 (mg/m3)_mean,CO2 (mg/m3)_flag,CO2 (mg/m3)_coverage_pct,HCHO (ug/m3)_mean,HCHO (ug/m3)_flag,HCHO (ug/m3)_coverage_pct,Hg (ug/m3)_mean,Hg (ug/m3)_flag,Hg (ug/m3)_coverage_pct,SPM (ug/m3)_mean,SPM (ug/m3)_flag,SPM (ug/m3)_coverage_pct,data_quality_tier,actual_data_years,data_first_year,data_last_year,n_stations
Bhiwani,Haryana,Haryana,2019,11,139.49031065088758,good,93.9,193.24237741456164,good,93.5,3.3087201125175807,good,98.8,27.642219101123597,good,98.9,16.74952247191011,good,98.9,12.433985815602835,good,97.9,0.9749857954545454,good,97.8,30.45002808988764,good,98.9,69.7174047954866,good,98.5,5.285948136142626,good,85.7,0.2979092382495948,good,85.7,1.5066450567260938,good,85.7,3.9849594813614266,good,85.7,,insufficient,0.0,0.959873417721519,good,98.8,226.40867791842476,good,98.8,63.794674220963174,good,98.1,,insufficient,0.0,0.00502092050209205,good,99.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2019,12,127.69953974895398,good,96.4,175.4337656903766,good,96.4,7.235676795580112,good,97.3,36.624096551724136,good,97.4,24.567572413793105,good,97.4,14.5332531824611,good,95.0,1.0387921348314606,good,95.7,14.342541666666667,good,96.8,73.18878661087867,good,96.4,6.936495327102803,good,86.3,0.26330261136712746,good,87.5,1.8862204724409448,good,85.3,4.124787401574803,good,85.3,,insufficient,0.0,0.8414226519337017,good,97.3,212.5550276243094,good,97.3,86.62697478991598,good,96.0,,insufficient,0.0,0.004807692307692308,good,97.8,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,1,83.06891530460622,good,90.5,125.04524517087668,good,90.5,4.388683431952662,good,90.9,28.32118168389956,good,91.0,18.238138847858195,good,91.0,14.63322678843227,good,88.3,0.9743497757847532,good,89.9,10.97397037037037,good,90.7,56.275488165680464,good,90.9,5.226528803545052,good,91.0,0.1448372781065089,good,90.9,1.0600738552437223,good,91.0,2.5932939438700147,good,91.0,,insufficient,0.0,0.9892909896602659,good,91.0,225.9381683899557,good,91.0,85.69476761619191,good,89.7,,insufficient,0.0,0.0008714918759231905,good,91.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,2,73.18975862068964,good,83.3,138.12491379310345,good,83.3,2.525827702702703,good,85.1,21.84130662020906,good,82.5,13.072402707275804,good,84.9,32.23750841750842,good,85.3,0.8268676716917923,good,85.8,24.65989492119089,good,82.0,82.45689713322092,good,85.2,4.665663865546219,good,85.5,4.983176470588235,good,85.5,0.8769243697478991,good,85.5,1.9948316498316498,good,85.3,,insufficient,0.0,1.3251166666666665,good,86.2,215.18228714524207,good,86.1,70.22622073578596,good,85.9,,insufficient,0.0,0.007770382695507486,good,86.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,3,30.497804054054054,good,79.6,81.77562080536912,good,80.1,2.075646481178396,good,82.1,20.59863711001642,good,81.9,12.397688524590164,good,82.0,41.73723076923077,good,78.6,0.8213213703099511,good,82.4,32.19151067323481,good,81.9,97.16730263157895,good,81.7,4.072045826513912,good,82.1,61.214262295081966,good,82.0,0.8569672131147541,good,82.0,2.253344262295082,good,82.0,,insufficient,0.0,1.1719180327868852,good,82.0,191.09934533551555,good,82.1,69.80883838383838,good,79.8,,insufficient,0.0,0.006407766990291262,good,83.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,4,26.537335473515252,good,86.5,85.05549114331724,good,86.2,1.3730889235569423,good,89.0,15.815458786936237,good,89.3,9.342737169517884,good,89.3,25.32623987034036,good,85.7,0.3880185758513932,good,89.7,19.88164596273292,good,89.4,62.04943425076453,good,90.8,4.726842105263158,good,89.7,76.54868624420402,good,89.9,0.8160896445131376,good,89.9,1.9199227202472953,good,89.9,,insufficient,0.0,1.224329268292683,good,91.1,210.02751524390243,good,91.1,42.58979938271605,good,90.0,,insufficient,0.0,0.0011398176291793312,good,91.4,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,5,25.000832137733145,good,93.7,140.96622668579627,good,93.7,1.4115350877192983,good,91.9,16.034379562043796,good,92.1,9.46424198250729,good,92.2,14.066456456456457,good,89.5,0.5151862464183381,good,93.8,23.848791540785502,good,89.0,68.4518492176387,good,94.5,6.072332838038633,good,90.5,120.38596439169137,good,90.6,1.5182169390787519,good,90.5,3.2678931750741844,good,90.6,,insufficient,0.0,1.3842127659574468,good,94.8,190.56997167138815,good,94.9,33.05772334293948,good,93.3,,insufficient,0.0,0.00782303370786517,good,95.7,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,6,27.052455858747994,good,86.5,129.14947368421053,good,87.1,4.355432098765432,good,67.5,14.827896749521988,good,72.6,7.776827094474154,good,77.9,10.265989492119092,good,79.3,0.5249295774647886,good,88.8,11.782312925170068,good,61.3,44.298259385665524,good,81.4,4.272973977695168,good,74.7,105.50988847583642,good,74.7,1.2454275092936802,good,74.7,2.0912641509433962,good,73.6,,insufficient,0.0,1.2152395672333849,good,89.9,164.10865533230293,good,89.9,52.92187399030695,good,86.0,,insufficient,0.0,0.01298780487804878,good,91.1,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,7,23.48193612774451,good,67.3,81.68411530815109,good,67.6,3.2686936936936934,good,59.7,14.785622489959838,good,66.9,8.39143953934741,good,70.0,21.119979296066255,good,64.9,0.421868978805395,good,69.8,6.3412727272727265,good,66.5,44.155389830508476,sparse,39.7,2.6575992063492064,good,67.7,101.54099206349207,good,67.7,1.1643927125506073,good,66.4,2.691035856573705,good,67.5,,insufficient,0.0,1.3040858505564388,good,84.5,148.23206677265497,good,84.5,67.46691001697792,good,79.2,,insufficient,0.0,0.015531250000000002,good,86.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
Bhiwani,Haryana,Haryana,2020,8,17.639867986798677,good,81.5,38.873173553719006,good,81.3,1.7627062706270629,good,81.5,13.525443037974684,good,84.9,10.559758064516132,good,83.3,9.267247097844113,good,81.0,0.4164141414141414,good,79.8,25.03435661764706,good,73.1,49.65657728706625,good,85.2,2.4952209492635022,good,82.1,110.1745008183306,good,82.1,1.5990343698854337,good,82.1,3.1231587561374794,good,82.1,,insufficient,0.0,1.3529375000000001,good,86.0,144.058984375,good,86.0,76.59852988691438,good,83.2,,insufficient,0.0,0.007085889570552148,good,87.6,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,,no_data,0.0,tier_2,5,2019,2023,1
